ts,x,y,longitude,latitude,motion_score
2022-03-30 20:42:37+02:00,1881214.4520462984,5119803.016843452,13.2548939833333,54.5221203833333,5.980741783968222
2022-03-30 20:44:57+02:00,1881208.5429742115,5119800.532032454,13.2548561333333,54.52209475,3.1191710313302043
2022-03-30 20:46:37+02:00,1881203.6493233119,5119798.086557746,13.2548253,54.5220707666667,7.50611219864476
2022-03-30 20:46:47+02:00,1881202.5511654848,5119796.350882225,13.25481995,54.52205695,7.416774641273454
2022-03-30 20:47:17+02:00,1881203.8046789595,5119794.088853705,13.2548316666667,54.5220425666667,7.275215746767299
2022-03-30 20:47:27+02:00,1881200.5344157072,5119791.316313161,13.2548125666667,54.52201845,5.755432948783125
2022-03-30 20:48:17+02:00,1881196.366165397,5119792.27443188,13.2547822833333,54.5220196333333,1.7325420749912386
2022-03-30 20:49:17+02:00,1881197.8586145013,5119793.829689306,13.2547906166667,54.5220327,0.15520962710500236
2022-03-30 20:51:47+02:00,1881191.6324175529,5119792.486265057,13.25474905,54.52201475,0.15595834026531463
2022-03-30 20:53:27+02:00,1881188.534553519,5119789.915506733,13.2547308833333,54.5219923,1.4938907872883838
2022-03-30 20:53:47+02:00,1881191.2167503105,5119791.570810398,13.2547473666667,54.5220076833333,3.0765891219147425
2022-03-30 20:53:57+02:00,1881193.309315228,5119792.995682313,13.25476005,54.5220206333333,3.3247795610668387
2022-03-30 20:54:37+02:00,1881183.5360226796,5119794.506991788,13.2546900166667,54.5220181833333,3.3525243262029503
2022-03-30 20:54:47+02:00,1881186.4455750359,5119797.598987084,13.2547061833333,54.5220440833333,3.141419612247865
2022-03-30 20:55:07+02:00,1881186.6942942024,5119796.841134826,13.2547089166667,54.5220390333333,2.4256137384841994
2022-03-30 20:56:37+02:00,1881187.2348868956,5119795.2374957325,13.2547148,54.5220283666667,1.5134886648279813
2022-03-30 20:57:07+02:00,1881186.4810402165,5119793.839816512,13.2547114,54.5220174166667,1.533403450651058
2022-03-30 20:57:17+02:00,1881186.4830703044,5119794.732979496,13.2547102333333,54.5220237666667,1.473861163121437
2022-03-30 20:58:07+02:00,1881186.6484071251,5119796.322163056,13.2547092833333,54.5220352833333,1.0484115684580306
2022-03-30 20:58:37+02:00,1881191.6947459672,5119797.415915758,13.2547429666667,54.5220498666667,0.1525555521306241
2022-03-30 20:58:47+02:00,1881186.0957353408,5119796.992332555,13.25470455,54.5220393,0.15538055410631263
2022-03-30 20:58:57+02:00,1881182.779236837,5119795.842112204,13.2546829833333,54.52202665,0.15467751926193946
2022-03-30 20:59:17+02:00,1881183.1647180887,5119795.564866259,13.2546860333333,54.5220252,0.1510859039073122
2022-03-30 21:01:17+02:00,1881185.289536908,5119796.251890295,13.2546999166667,54.52203295,2.3249655983529065
2022-03-30 21:06:57+02:00,1881188.995778891,5119795.874023988,13.2547262166667,54.5220352666667,0.15768062014176865
2022-03-30 21:09:57+02:00,1881193.2113542475,5119796.640076381,13.25475455,54.5220464,0.13973762207915424
2022-03-30 21:16:57+02:00,1881186.187707558,5119799.291995387,13.25470215,54.5220557666667,0.1503483086711228
2022-03-30 21:21:07+02:00,1881184.3527661972,5119794.344847047,13.2546959166667,54.5220181333333,0.15193814821072915
2022-03-30 21:23:37+02:00,1881182.9926651458,5119797.823204586,13.25468185,54.5220410166667,0.14891654269841403
2022-03-30 21:28:57+02:00,1881186.9966600223,5119795.029448455,13.2547134166667,54.5220265666667,0.14307569752596092
2022-03-30 21:33:07+02:00,1881183.5996941468,5119799.204206894,13.25468425,54.52205165,0.15217181554179254
2022-03-30 21:34:27+02:00,1881190.4120681945,5119798.175471968,13.2547330333333,54.5220535333333,0.1423685347680102
2022-03-30 21:36:27+02:00,1881198.5253066083,5119798.789970727,13.2547887,54.52206885,0.14345499775626755
2022-03-30 21:37:17+02:00,1881194.2085879755,5119798.272965801,13.2547593333333,54.52205935,0.14740649602684458
2022-03-30 21:38:07+02:00,1881189.5095937643,5119799.512463463,13.2547249833333,54.5220618166667,0.15533811602382805
2022-03-30 21:38:47+02:00,1881191.2573100824,5119796.77664633,13.2547407666667,54.5220447333333,0.15618650443821086
2022-03-30 21:40:07+02:00,1881194.065981192,5119796.740442505,13.2547603666667,54.5220482666667,0.15682922377500608
2022-03-30 22:28:50+02:00,1881187.471344769,5119807.362213647,13.2547004166667,54.52211485,0.15073726136717097
2022-03-30 23:52:46+02:00,1881208.587463256,5119796.417011544,13.2548618833333,54.5220655666667,3.2068887381769544
2022-03-30 23:52:56+02:00,1881202.19792788,5119792.196478308,13.2548229833333,54.52202695,3.000364480652455
2022-03-30 23:53:06+02:00,1881199.3554000107,5119792.382175853,13.25480295,54.5220244333333,2.8459966497229243
2022-03-30 23:53:26+02:00,1881203.3111095387,5119786.82547599,13.2548378333333,54.5219902833333,2.5828038411114305
2022-03-30 23:53:36+02:00,1881219.2077879305,5119781.048437852,13.2549561333333,54.5219706833333,2.498104791622347
2022-03-30 23:53:46+02:00,1881229.3640817725,5119778.061886802,13.2550307833333,54.5219631666667,2.4223897064654247
2022-03-30 23:53:56+02:00,1881232.6171391876,5119776.344149379,13.2550557,54.52195535,1.8450788206565574
2022-03-30 23:54:26+02:00,1881226.7905306953,5119777.861136048,13.2550131333333,54.5219582666667,0.15611480032340483
2022-03-30 23:54:56+02:00,1881219.2696205915,5119783.126328612,13.2549538166667,54.5219855333333,0.15189439304694397
2022-03-30 23:55:16+02:00,1881215.9457701778,5119786.072356864,13.2549267833333,54.5220019833333,0.1536924265041667
