,ts,longitude,latitude,altitude,accuracy,motion_score,y,x
1159,2021-10-27 12:26:11+02:00,13.37727085,52.5263037666667,107.314,7.55748605728149,492.1265179893732,4848961.1430385,1848685.883475671
1160,2021-10-27 12:26:21+02:00,13.3770857666667,52.5263914833333,112.578,7.72727346420288,507.31220644161806,4848977.237754331,1848662.8999590478
1161,2021-10-27 12:26:31+02:00,13.37689765,52.5264689,126.693,8.00722503662109,496.3240358944773,4848992.040439397,1848639.2622804197
1162,2021-10-27 12:26:41+02:00,13.3766979833333,52.5265544,134.63,6.22119283676147,499.0026485214429,4849008.193363464,1848614.2519364392
1163,2021-10-27 12:26:51+02:00,13.3765782666667,52.5267630333333,127.1,4.80864334106445,491.8568727156522,4849038.737491412,1848602.9755620512
1164,2021-10-27 12:27:01+02:00,13.3765798833333,52.5268693,114.042,5.12721872329712,482.7716656105172,4849052.784037227,1848605.7060646247
1165,2021-10-27 12:27:11+02:00,13.3765369833333,52.5269549166667,112.538,5.24212312698364,485.5941804864375,4849065.168103914,1848601.9217443888
1166,2021-10-27 12:27:21+02:00,13.3765702333333,52.5270903833333,111.012,5.35308074951172,487.9429027013264,4849082.321490031,1848609.6250163452
1167,2021-10-27 12:27:31+02:00,13.3765620166667,52.5271329,109.207,6.36227226257324,491.06543767043934,4849088.15541956,1848609.5175274645
1168,2021-10-27 12:27:41+02:00,13.3764432666667,52.52721705,103.376,5.24048471450806,490.5862365852206,4849102.1761924885,1848595.4297712606
1169,2021-10-27 12:27:51+02:00,13.3762496,52.5272877833333,96.177,5.40017747879028,488.6060602209996,4849116.227108518,1848570.882440643
1170,2021-10-27 12:28:01+02:00,13.3761562,52.5272381,97.671,6.37452459335327,491.3072171171256,4849111.896257726,1848557.0634041324
1171,2021-10-27 12:28:11+02:00,13.3759411833333,52.5273179,98.427,7.1573224067688,490.22029004743376,4849127.664290985,1848529.8398631336
1172,2021-10-27 12:28:21+02:00,13.37572125,52.52752455,103.408,7.41434001922607,463.9138826625511,4849160.365109322,1848504.9486661
1173,2021-10-27 12:28:31+02:00,13.3756567166667,52.5278372166667,105.388,7.83796691894531,480.0214035712536,4849203.367406647,1848503.6017159305
1174,2021-10-27 12:28:41+02:00,13.37579905,52.5279536,100.382,8.30846118927002,463.6590492920691,4849215.358291249,1848525.6221303483
1175,2021-10-27 12:28:51+02:00,13.3759418666667,52.5279698166667,92.488,8.8016242980957,450.2207064522892,4849214.060180628,1848545.3405355937
1176,2021-10-27 12:29:01+02:00,13.37609995,52.5280367,91.692,11.4859590530396,431.3948307339919,4849219.109430701,1848568.3233479715
1177,2021-10-27 12:29:11+02:00,13.3761515,52.52820035,92.913,9.6910514831543,398.602729840404,4849239.557056703,1848579.170435801
1178,2021-10-27 12:29:21+02:00,13.3762483166667,52.5282958,98.128,10.4871034622192,369.0130827984521,4849249.871850388,1848594.5339835053
1179,2021-10-27 12:29:31+02:00,13.3762293833333,55.5284070833333,94.662,15.0,342.5092340983651,4849265.079757233,1848594.6010422008
1180,2021-10-27 12:33:11+02:00,13.3766566333333,55.5285337166667,104.921,15.0,16.5003392359148,4849271.550583967,1848655.4373327277
1181,2021-10-27 12:33:21+02:00,13.3766366666667,52.5285166,106.475,15.0,16.607631761532897,4849269.763782437,1848652.329563379
1183,2021-10-27 12:33:41+02:00,13.3764839,52.5284525833333,102.303,15.0,16.16213507708791,4849264.966380794,1848630.1341491938
1186,2021-10-27 12:34:11+02:00,13.37626045,52.5283997,96.864,13.4567556381226,116.85998666349772,4849263.351082546,1848598.6324752967
1208,2021-10-27 12:37:51+02:00,13.3761607666667,52.5282751,80.275,14.230052947998,16.190579908295515,4849249.241603564,1848582.191801555
1210,2021-10-27 12:38:11+02:00,13.3761198166667,52.5282528833333,77.773,13.884352684021,15.984000499713154,4849247.285324827,1848576.1226901715
1219,2021-10-27 12:39:41+02:00,13.3759856833333,52.5281692833333,66.989,11.7339954376221,16.409777562619894,4849239.442096989,1848555.9871545958
1220,2021-10-27 12:39:51+02:00,13.3758125333333,52.5281408,75.661,13.8918905258179,16.510453940878005,4849239.846538443,1848531.8721124618
1221,2021-10-27 12:40:01+02:00,13.3757418333333,52.5281103833333,67.93,15.0,16.455294371423186,4849237.521475449,1848521.5815172065
1237,2021-10-27 12:42:41+02:00,13.3758373,52.5282146833333,67.93,15.0,15.764371546088071,4849249.0420544855,1848536.9714125274
1238,2021-10-27 12:42:51+02:00,13.3758045,52.5281964333333,63.245,14.4762916564941,15.806435083146834,4849247.414789313,1848532.0994481535
1241,2021-10-27 12:43:21+02:00,13.3758281666667,52.52819195,58.043,15.0,15.186968433085548,4849246.2491850965,1848535.1975833802
1242,2021-10-27 12:43:31+02:00,13.3759377666667,52.5282308833333,64.189,15.0,15.37533737171434,4849248.764055968,1848550.9559479773
1243,2021-10-27 12:43:41+02:00,13.3759343666667,52.5282273833333,64.087,15.0,15.172610028513676,4849248.382202388,1848550.4129151371
1252,2021-10-27 12:45:11+02:00,13.3758894666667,52.5281922166667,63.665,15.0,15.466202508996693,4849244.804707316,1848543.5029585701
1261,2021-10-27 12:46:41+02:00,13.3758116666667,52.5281370666667,68.52,15.0,16.191475043921827,4849239.372598854,1848531.6665399424
1269,2021-10-27 12:48:01+02:00,13.3760022333333,52.5282464,85.168,15.0,16.345910274213953,4849249.264537268,1848560.0504883716
1271,2021-10-27 12:48:21+02:00,13.37605535,52.5282757333333,90.92,12.6415004730225,15.941211400962471,4849251.870439293,1848567.9349866041
